location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/1717,NULL,"SML, B70 [Range: 15, Section: g, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1724,NULL,"SML, B70 [Range: 15, Section: h, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1731,NULL,"SML, B70 [Range: 15, Section: i, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1738,NULL,"SML, B70 [Range: 15, Section: j, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1745,NULL,"SML, B70 [Range: 15, Section: k, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/3045,NULL,"SML, B70 [Map Print Carton: 15]",B70,15,NULL,NULL,NULL
/locations/3046,NULL,"SML, B70 [Map Print Carton: 16]",B70,16,NULL,NULL,NULL
/locations/3047,NULL,"SML, B70 [Map Print Carton: 17]",B70,17,NULL,NULL,NULL
/locations/3048,NULL,"SML, B70 [Map Print Carton: 18]",B70,18,NULL,NULL,NULL
/locations/3049,NULL,"SML, B70 [Map Print Carton: 19]",B70,19,NULL,NULL,NULL
/locations/3050,NULL,"SML, B70 [Map Print Carton: 20]",B70,20,NULL,NULL,NULL
/locations/3051,NULL,"SML, B70 [Map Print Carton: 21]",B70,21,NULL,NULL,NULL
/locations/3052,NULL,"SML, B70 [Map Print Carton: 22]",B70,22,NULL,NULL,NULL
/locations/3054,NULL,"SML, B70 [Map Print Carton:  23]",B70,23,NULL,NULL,NULL
/locations/1789,NULL,"SML, B70-B [Range: 1, Section: a, Shelf: 1]",B70-B,1,NULL,NULL,NULL
/locations/1791,NULL,"SML, B70-B [Range: 1, Section: a, Shelf: 3]",B70-B,1,NULL,NULL,NULL
/locations/1792,NULL,"SML, B70-B [Range: 1, Section: a, Shelf: 4]",B70-B,1,NULL,NULL,NULL
/locations/1793,NULL,"SML, B70-B [Range: 1, Section: a, Shelf: 5]",B70-B,1,NULL,NULL,NULL
/locations/1794,NULL,"SML, B70-B [Range: 1, Section: a, Shelf: 6]",B70-B,1,NULL,NULL,NULL
/locations/1795,NULL,"SML, B70-B [Range: 1, Section: a, Shelf: 7]",B70-B,1,NULL,NULL,NULL
/locations/1796,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 1]",B70-B,1,NULL,NULL,NULL
/locations/1797,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 2]",B70-B,1,NULL,NULL,NULL
/locations/1798,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 3]",B70-B,1,NULL,NULL,NULL
/locations/1799,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 4]",B70-B,1,NULL,NULL,NULL
/locations/1800,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 5]",B70-B,1,NULL,NULL,NULL
